,timestamp,tweet
0,2018-10-27 22:05:16,Cal Poly Pomona Among the Best at Boosting Social Mobility for Students https://t.co/r4s28SMWWr
1,2018-10-27 20:33:02,"Soccer - Men, CSUDH Men&amp;#039;s Soccer vs. Cal Poly Pomona starts in 11 minutes https://t.co/k9DguyAYty #CTVTCalStateDHSoccer-Men"
2,2018-10-27 20:29:31,"W⚽️: @CSUDHWSoccer headed to its 7th OT game this year, even with Cal Poly Pomona, 0-0, at the end of 90 minutes. #DHornsUp"
3,2018-10-27 20:10:49,"Do you have an existing water feature you can highlight instead of just deal with? 

New drought-tolerant native garden with swale at Cal Poly Pomona 

https://t.co/zqFR4kxln7

#garden #gardening #landscape #Design #nature #College #Campus #CalPolyPomona #NativePlants #Natives https://t.co/4Oj9cD35M5"
4,2018-10-27 20:03:02,"Soccer - Men, CSUDH Men&amp;#039;s Soccer vs. Cal Poly Pomona starts in 41 minutes https://t.co/k9DguyAYty #CTVTCalStateDHSoccer-Men"
5,2018-10-27 19:56:28,W⚽️: no score at halftime between @CSUDHWSoccer and Cal Poly Pomona here in Carson. #DHornsUp
6,2018-10-27 19:45:02,YASSSS HAD A BLAST 💖💖💖HALLOWEEN PARTYYYYYY 🌈✨✨#college #yas #amazing #gayasf #party @ Cal Poly Pomona https://t.co/PgGdk9k2kx
7,2018-10-27 19:44:13,"What does Star Wars mean to you? How has it affected your life!

Rosanne Makes A Point in “How Star Wars Changed Films Forever” at Cal Poly Pomona’s University Library

https://t.co/E9xeanM9s6

#starwars #georgelucas #movies #film #history #speaking#heroinesjourney #screenwriting https://t.co/UEFRswzhJK"
8,2018-10-27 19:41:48,Life is like a pumpkin patch. Never settle. Take your time looking and searching until you find the perfect one 😊🎃 @ Cal Poly Pomona Farm Store https://t.co/clXUjnZPAY
9,2018-10-27 18:33:01,"Soccer - Women, CSUDH Women&amp;#039;s Soccer vs. Cal Poly Pomona starts in 6 minutes https://t.co/NZDBwZK8oh #CTVTCalStateDHSoccer-Women"
10,2018-10-27 18:03:02,"Soccer - Women, CSUDH Women&amp;#039;s Soccer vs. Cal Poly Pomona starts in 11 minutes https://t.co/NZDBwZK8oh #CTVTCalStateDHSoccer-Women"
11,2018-10-27 17:46:17,@ everyone attending cal poly pomona:
12,2018-10-27 17:33:02,"Soccer - Women, CSUDH Women&amp;#039;s Soccer vs. Cal Poly Pomona starts in 41 minutes https://t.co/NZDBwZK8oh #CTVTCalStateDHSoccer-Women"
13,2018-10-27 16:35:23,First talk: Stacy Brown from Cal Poly Pomona. “Birds of a feather? An exploration of the relationships between equity-oriented instruction and inquiry-based learning”
14,2018-10-27 16:19:07,"This year, we hosted Cal Poly Pomona. Their experience ranged from shopping at the farmers market to competing against the Costa Rica National team! Read about their experience at... https://t.co/YFcFo90RpB"
15,2018-10-27 08:02:03,@Dacchei Hello Ms.Rago my name is Chris and I am currently attending  Cal poly Pomona and actually sent you a message on LinkedIn about a interview project for a business class and was wondering if you could check it out.
16,2018-10-27 07:53:08,"@Gomez_Rick 
Hello Mr Gomez, My name is Chris and I am a Cal Poly Pomona Business student and for one of my classes I am supposed to interview a Marketing professional to get insight about their job. I was wondering if I could send you some questions if you agree to answer them."
17,2018-10-27 06:11:52,It is time #bigdeal 🌊🐼 @ Cal Poly Pomona https://t.co/nkxISMiGX5
18,2018-10-27 03:44:27,"🏐 Final. #CSUDHvb falls to No. 3 CSUSB. Rylee Brown credited for 8 kills, 4, digs and 1 block on the night. Toros head to Cal Poly Pomona tomorrow night for the road season finale. #CCAAvb https://t.co/esGi2rWZ3f"
19,2018-10-27 02:47:26,Here at Cal poly Pomona tonight which they are hosting the #3 Cal St LA Women’s Volleyball Team https://t.co/cI6OrxUHWH
20,2018-10-27 02:43:55,"@GeoffONeil Yeah, I can't either. Share Cal Poly Pomona's!"
21,2018-10-26 23:07:19,"What does Star Wars mean to you? How has it affected your life!

Rosanne Speaks on “How Star Wars Changed Films Forever” at Cal Poly Pomona.

https://t.co/EMCYQ5nHNr

#starwars #georgelucas #movies #film #history #speaking #herosjourney #heroinesjourney #screenwriting https://t.co/zic7AdyiGN"
22,2018-10-26 22:55:27,@jungwoomark thank you!! &lt;3 and nooo :( i go to cal poly pomona
23,2018-10-26 22:18:19,Cal Poly Pomona and UCLA offering information sessions this week. Call us for deets (951) 372-7043 https://t.co/0utdrvg7Ii
24,2018-10-26 21:08:54,"What would you do with a natural spring in your garden?

New drought-tolerant native garden with swale at Cal Poly Pomona via Instagram

https://t.co/43SsyjPvfg

@calpolypomoma  #garden #gardening #landscape #Design #nature #Outdoors #College #Campus#DroughtTolerant #NativePlants https://t.co/GZblkBYMYR"
25,2018-10-26 20:57:03,Cal Poly Pomona – Red Lobster – Arlington https://t.co/uq7NeGkN0Y Job Arlington
26,2018-10-26 20:00:53,@antwan_see How old is she? Everyone says the pumpkin patch in cal poly pomona is cute
27,2018-10-26 18:42:08,"@thelittleidiot You were da shiz back when I was attending Cal Poly Pomona back in ‘03. Good times! Btw, ur still da King!"
28,2018-10-26 16:13:55,"Cal Poly Pomona Presents Demystifying Mental Health in Working-Class Latina/o Communities &amp; Beyond
Date: Wed, Nov14, 2018
Time: 11:30am to 12:45pm
Location: Grand Reading Room, 3rd Floor, University Library"
29,2018-10-26 15:49:35,COHS Cybersecurity club participating in Cal Poly Pomona Cybersecurity Fair!!! https://t.co/9sRGDwWSWF
30,2018-10-26 09:03:51,"Great review from The Poly Post!

""Every single seat at the Greenway Court Theater was taken by an eager spectator, proving that there is a need for more events like LA Escena Festival."" https://t.co/jHHaX3AJMm"
31,2018-10-26 08:07:45,"damn if i really went to cal poly pomona as an english major w/ an emphasis on literary studies major, i would have gone crazy bc i barely have time to read the 4 books for my classes as a creative writing major."
32,2018-10-26 07:18:25,Mazel’s school field trip #pumpkinpatch #october24th2018 #secondfieldtrip #mazelparis @ Cal Poly Pomona Pumpkin Festival at AGRIscapes https://t.co/Y0UKGp9sZf
33,2018-10-26 05:17:44,Bronco Madness!!!!  Your 2018-2019 Cal Poly Pomona Broncos🏀🏆#LeaveYourLegacy https://t.co/XufX071psA
34,2018-10-26 04:11:21,"M⚽️ Final: @csusbathletics 4, @CSUDHmsoccer 0. Toros close out the season against Cal Poly Pomona on Saturday. #CCAAms #DHornsUp"
35,2018-10-26 03:02:07,"As always, my sister knows how to get my good side. @ Cal Poly Pomona Pumpkin Festival at AGRIscapes https://t.co/gC8d7qlwij"
36,2018-10-25 23:56:21,Wow I barely heard back from my parking citation appeal that happened in June. And I still have to pay. THANKS cal poly pomona
37,2018-10-25 23:27:46,I should’ve gone to cal poly Pomona
38,2018-10-25 22:14:10,"Pumpkin kisses and fall mood🍂🧡
#fallatthefarm #countrycouple @ Cal Poly Pomona Pumpkin Festival at AGRIscapes https://t.co/dkGqaWRYUo"
39,2018-10-25 21:48:59,Proud Cal Poly Pomona graduate!! Class of 89 and women’s soccer alumni! Not an engineering major but way proud of my university! https://t.co/aENc45SdUq
40,2018-10-25 20:25:00,"""Yelled ""GET THE FUCK UP OUT MY TRAPHOUSE"" at a frat party to some random dudes and they actually left. Lolololol."" - Cal Poly Pomona"
41,2018-10-25 19:53:08,Stoked to be opening for @imfigure on November 28th! Cop your tickets now this is going to sell out only $20. Going hard on my set playing from 9am - 10am. @ Cal Poly Pomona https://t.co/a8bYrEdl0J
42,2018-10-25 18:01:45,"The whole reason I still go here is because one time a girl was like ‘where are you going to college?’ And I was like ‘cal’ and she said ‘oh, cal poly Pomona, or San Luis Obispo?’ And I got to be like ‘university of California, berkeley’ and her FACE"
43,2018-10-25 17:43:10,Going to the Cal Poly Pomona Cyber fair. https://t.co/mHJTCRaz2V
